d,n,j,D_original,D_squarefree,tunnell_result
18176567219,2,134821,36353134440,1009809290,✓ CONFIRMADO
585989,2,766,1171980,32555,✓ CONFIRMADO
19292237711,2,138897,38584475424,267947746,✓ CONFIRMADO
494210600,4,94318,17791581612,4447895403,✓ CONFIRMADO
1946938832,5,279066,155755106580,38938776645,✓ CONFIRMADO
78086434159,2,279440,156172868320,9760804270,✓ CONFIRMADO
26210476711,2,161897,52420953424,66863461,✓ CONFIRMADO
571890563,4,101460,20588060280,5147015070,✓ CONFIRMADO
1258355583,4,150501,45300801000,453008010,✓ CONFIRMADO
61453170505,2,247898,122906341012,30726585253,✓ CONFIRMADO
67590380341,2,259982,135180760684,33795190171,✓ CONFIRMADO
77736410155,2,278813,155472820312,38868205078,✓ CONFIRMADO
2172800107,4,197764,78220803864,399085734,✓ CONFIRMADO
55478384981,2,235539,110956769964,3082132499,✓ CONFIRMADO
3631494068,4,255670,130733786460,32683446615,✓ CONFIRMADO
29986636721,2,173167,59973273444,305986089,✓ CONFIRMADO
3029346559,2,55040,6058693120,23666770,✓ CONFIRMADO
4559017919,2,67521,9118035840,142469310,✓ CONFIRMADO
148500409,6,105535,22275061380,618751705,✓ CONFIRMADO
5992540331,2,77412,11985080664,2996270166,✓ CONFIRMADO
431247521,2,20767,862495044,215623761,✓ CONFIRMADO
42478652711,2,206104,84957305424,5309831589,✓ CONFIRMADO
68564636951,2,261849,137129273904,8570579619,✓ CONFIRMADO
37217547641,2,192919,74435095284,18608773821,✓ CONFIRMADO
468484379,2,21645,936968760,26026910,✓ CONFIRMADO
3937053637,4,266209,141733930944,2214592671,✓ CONFIRMADO
63480487,8,111545,24884350960,1555271935,✓ CONFIRMADO
411826141,2,20294,823652284,205913071,✓ CONFIRMADO
317071441,2,17807,634142884,158535721,✓ CONFIRMADO
2400979357,4,207889,86435256864,5402203554,✓ CONFIRMADO
28778917091,2,169644,57557834184,49790514,✓ CONFIRMADO
1778514500,4,178923,64026522012,16006630503,✓ CONFIRMADO
